#{"t_start": 1760046285.967201, "env_id": "None"}
r,l,t
62.5,50,330.780863
1356.7,50,415.652623
2929.8,50,492.136405
3845.6,50,574.622277
133.1,50,659.967802
355.5,50,745.142035
5451.9,50,823.452775
942.4,50,913.829316
2426.1,50,999.689472
7246.0,50,1073.762635
9529.7,50,1143.701468
7990.8,50,1212.595126
5566.3,45,1281.771224
6659.2,36,1334.518441
4371.5,27,1371.735547
6893.2,34,1418.290153
6050.3,50,1491.511868
11255.4,50,1562.471314
5296.3,50,1636.520259
406.9,50,1724.944621
1019.4,50,1812.237453
2742.8,50,1889.125875
2667.8,31,1941.567325
3357.9,44,2016.21429
916.1,50,2094.327478
1107.0,28,2203.980148
1314.7,21,2241.078018
1025.2,19,2275.434068
1101.5,22,2315.427988
881.9,25,2362.815578
2133.5,50,2444.553634
1066.5,50,2527.117106
156.3,50,2609.163603
2385.5,50,2688.052712
1545.1,50,2774.967729
7112.4,42,2837.310935
509.9,50,2919.290722
894.3,50,3009.254493
2332.5,50,3092.598778
4311.4,50,3169.020213
16212.7,50,55012.964857
9795.5,41,55069.375981
11007.6,44,55126.942575
5389.8,30,55164.243612
4849.5,13,55177.124157
6145.1,50,55252.437007
6856.3,50,55331.136783
2562.8,48,55398.91904
1488.7,50,55478.712037
2951.0,9,55491.383939
13129.6,44,55552.549276
3705.1,50,55636.646411
3280.0,50,55714.147874
2310.1,50,55790.817255
3607.6,50,55877.618916
4497.1,34,55921.311362
3730.2,21,55975.671639
5472.1,28,56014.411839
3557.7,21,56038.869468
2877.5,12,56050.986769
5776.4,31,56090.44569
